t_rel_s,shm_used_mb,shm_sm_block_count,images_out_mb,pipelines
8.6,39223.18,5746,3688.35,0
8.6,39223.18,5746,3688.35,0
8.6,39223.18,5746,3688.35,0
8.6,39223.18,5746,3688.35,0
8.6,39223.18,5746,3688.35,0
8.6,39223.18,5746,3688.35,0
8.6,39223.18,5746,3688.35,0
8.6,39223.18,5746,3688.35,0
8.6,39223.18,5746,3688.35,0
8.6,39223.18,5746,3688.35,0
8.6,39223.18,5746,3688.35,0
8.6,39223.18,5746,3688.35,0
8.6,39223.18,5746,3688.35,0
8.6,39223.18,5746,3688.35,0
8.6,39223.18,5746,3688.35,0
8.6,39223.18,5746,3688.35,0
8.6,39224.04,5748,3688.35,0
8.7,39224.16,5749,3688.35,0
8.7,39224.16,5749,3688.35,0
8.7,39224.16,5749,3688.35,0
8.7,39224.16,5749,3688.35,0
8.7,39225.94,5750,3688.35,0
8.7,39225.94,5750,3688.35,0
8.7,39226.16,5751,3688.35,0
8.7,39226.16,5751,3688.35,0
8.7,39226.16,5751,3688.35,0
8.7,39226.16,5751,3688.35,0
8.7,39228.77,5752,3688.35,0
8.7,39229.05,5754,3688.35,0
8.7,39229.06,5755,3688.35,0
8.7,39229.11,5756,3688.35,0
8.7,39229.11,5756,3688.35,0
8.8,39229.11,5756,3688.35,0
8.8,39229.11,5756,3688.35,0
8.8,39229.11,5756,3688.35,0
8.8,39229.11,5756,3688.35,0
8.8,39229.11,5756,3688.35,0
8.8,39229.11,5756,3688.35,0
8.8,39232.43,5757,3688.35,0
8.8,39244.71,5757,3688.35,0
8.8,39246.29,5757,3688.35,0
8.8,39246.29,5757,3688.35,0
8.8,39246.29,5757,3688.35,0
8.8,39246.29,5757,3688.35,0
8.8,39246.29,5757,3688.35,0
8.8,39249.33,5758,3688.35,0
8.9,39263.47,5758,3688.35,0
8.9,39263.47,5758,3688.35,0
8.9,39263.47,5758,3688.35,0
8.9,39263.47,5758,3688.35,0
8.9,39263.47,5758,3688.35,0
8.9,39263.47,5758,3688.35,0
8.9,39263.47,5758,3688.35,0
8.9,39276.41,5759,3688.35,0
